[Info  - 7:01:03 a. m.] Angular language server process ID: 3550
[Info  - 7:01:05 a. m.] Using typescript/lib/tsserverlibrary v4.2.4 from /root/.vscode/extensions/angular.ng-template-12.0.3/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 7:01:05 a. m.] Using @angular/language-service v12.0.2 from /root/.vscode/extensions/angular.ng-template-12.0.3/node_modules/@angular/language-service/index.js
[Info  - 7:01:05 a. m.] Logging is turned off. To enable, run command 'Open Angular server log'.
[Info  - 7:02:34 a. m.] Enabling Ivy language service for /home/lhackdev/AngularProjects/platzi-store/tsconfig.json.
[Error - 8:19:17 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:20:08 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:20:23 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:20:35 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:20:40 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:20:50 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:20:51 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:20:54 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:32 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:33 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:34 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:35 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:36 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:37 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:39 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:41 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:41 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:42 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:45 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:54 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:55 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:58 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:58 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:21:59 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:05 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:09 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:11 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:15 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:42 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:44 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:56 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:57 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:22:59 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:01 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:03 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:05 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:07 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:07 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:09 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:10 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:13 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:19 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:57 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Error - 8:23:59 a. m.] No config file for /home/lhackdev/AngularProjects/platzi-store/src/app/app.component.html
[Info  - 9:31:37 a. m.] Enabling Ivy language service for /home/lhackdev/AngularProjects/platzi-store/tsconfig.json.
[Info  - 9:31:41 a. m.] Enabling Ivy language service for /home/lhackdev/AngularProjects/platzi-store/tsconfig.json.
